,epoch,val_loss
0,0.0,0.016058295965194702
1,1.0,0.025410808622837067
2,2.0,0.008916448801755905
3,3.0,0.011221070773899555
4,4.0,0.008554241620004177
5,5.0,0.010170657187700272
6,6.0,0.009310195222496986
7,7.0,0.011801296845078468
8,8.0,0.007938535884022713
9,9.0,0.008529487065970898
10,10.0,0.00847108568996191
11,11.0,0.010238341055810452
12,12.0,0.014038924127817154
13,13.0,0.011874070391058922
14,14.0,0.008728894405066967
15,15.0,0.014119996689260006
16,16.0,0.007871609181165695
17,17.0,0.009720605798065662
18,18.0,0.007732750847935677
19,19.0,0.01102991122752428
20,20.0,0.007345343474298716
21,21.0,0.006901032291352749
22,22.0,0.006874216720461845
23,23.0,0.007538781501352787
24,24.0,0.007313943933695555
25,25.0,0.006565781310200691
26,26.0,0.006571895442903042
27,27.0,0.007559917401522398
28,28.0,0.006158353760838509
29,29.0,0.007901707664132118
30,30.0,0.006595009472221136
31,31.0,0.006048442330211401
32,32.0,0.005718489643186331
33,33.0,0.005732974037528038
34,34.0,0.005711554549634457
35,35.0,0.005677966400980949
36,36.0,0.0057782987132668495
37,37.0,0.005486450623720884
38,38.0,0.005433880258351564
39,39.0,0.005300086922943592
40,40.0,0.005216627381742001
41,41.0,0.0051969983614981174
42,42.0,0.005209829192608595
43,43.0,0.005261003039777279
44,44.0,0.0051081981509923935
45,45.0,0.005100632552057505
46,46.0,0.005092767998576164
47,47.0,0.005018217489123344
48,48.0,0.004991266410797834
49,49.0,0.0049861157312989235
